date,ts_recv,ts_event,side,price,size,ticker,und_ticker,expiration_date,option_type,strike_price
2025.04.03,09:58:50.173081526,09:58:50.172870912,N,0.03,15,XRX   250417C00009000,XRX,2025.04.17,C,9
2025.04.03,09:30:05.819621911,09:30:05.819409408,N,0.05,4,XRX   250417C00008000,XRX,2025.04.17,C,8
2025.04.03,09:30:05.819627462,09:30:05.819414784,N,0.05,1,XRX   250417C00008000,XRX,2025.04.17,C,8
2025.04.03,09:30:05.821456558,09:30:05.821245440,N,0.05,3,XRX   250417C00008000,XRX,2025.04.17,C,8
2025.04.03,09:30:05.830032520,09:30:05.829821952,N,0.05,4,XRX   250417C00008000,XRX,2025.04.17,C,8
2025.04.03,09:30:05.830807157,09:30:05.830596352,N,0.05,2,XRX   250417C00008000,XRX,2025.04.17,C,8
2025.04.03,09:30:05.832462057,09:30:05.832251648,N,0.02,5,XRX   250417C00008000,XRX,2025.04.17,C,8
2025.04.03,10:00:44.393589744,10:00:44.393379840,N,0.14,4,XRX   250417P00004000,XRX,2025.04.17,P,4
2025.04.03,10:00:44.393589744,10:00:44.393379840,N,0.14,5,XRX   250417P00004000,XRX,2025.04.17,P,4
2025.04.03,10:07:29.927582603,10:07:29.927371776,N,0.1,10,XRX   250417P00004000,XRX,2025.04.17,P,4
2025.04.03,10:08:51.594573194,10:08:51.594362368,N,0.14,1,XRX   250417P00004000,XRX,2025.04.17,P,4
2025.04.03,10:16:42.693294330,10:16:42.693080576,N,0.13,20,XRX   250417P00004000,XRX,2025.04.17,P,4
2025.04.03,10:16:43.267026171,10:16:43.266813184,N,0.13,80,XRX   250417P00004000,XRX,2025.04.17,P,4
2025.04.03,10:18:08.266565146,10:18:08.266354688,N,0.15,10,XRX   250417P00004000,XRX,2025.04.17,P,4
2025.04.03,10:34:39.395163611,10:34:39.394955008,N,0.24,3,XRX   250417P00004000,XRX,2025.04.17,P,4
2025.04.03,10:44:55.112545160,10:44:55.112335872,N,0.01,1,XRX   250417C00008000,XRX,2025.04.17,C,8
2025.04.03,12:04:08.963585062,12:04:08.963375616,N,0.25,1,XRX   250417P00004000,XRX,2025.04.17,P,4
2025.04.03,12:32:57.975767564,12:32:57.975557632,N,0.2,30,XRX   250417P00004000,XRX,2025.04.17,P,4
2025.04.03,12:32:58.822938668,12:32:58.822727680,N,0.2,3,XRX   250417P00004000,XRX,2025.04.17,P,4
2025.04.03,12:32:59.040760282,12:32:59.040550656,N,0.2,16,XRX   250417P00004000,XRX,2025.04.17,P,4
2025.04.03,12:32:59.040885438,12:32:59.040675840,N,0.2,1,XRX   250417P00004000,XRX,2025.04.17,P,4
2025.04.03,12:32:59.040900406,12:32:59.040690944,N,0.2,1,XRX   250417P00004000,XRX,2025.04.17,P,4
2025.04.03,12:32:59.040996339,12:32:59.040786688,N,0.2,9,XRX   250417P00004000,XRX,2025.04.17,P,4
2025.04.03,13:22:08.711780050,13:22:08.711568128,N,0.2,50,XRX   250417P00004000,XRX,2025.04.17,P,4
2025.04.03,13:39:48.687795157,13:39:48.687586048,N,0.18,1,XRX   250417P00004000,XRX,2025.04.17,P,4
2025.04.03,15:51:25.849799392,15:51:25.849590272,N,0.21,10,XRX   250417P00004000,XRX,2025.04.17,P,4
2025.04.03,15:51:25.849799392,15:51:25.849590272,N,0.21,10,XRX   250417P00004000,XRX,2025.04.17,P,4
2025.04.03,15:57:30.554566020,15:57:30.554357248,N,0.24,2,XRX   250417P00004000,XRX,2025.04.17,P,4
2025.04.03,09:30:01.161263137,09:30:01.161055488,N,0.4,1,XRX   250417P00005000,XRX,2025.04.17,P,5
2025.04.03,09:30:22.604489220,09:30:22.604275712,N,0.55,1,XRX   250417P00005000,XRX,2025.04.17,P,5
2025.04.03,09:39:03.693777398,09:39:03.693565184,N,0.6,1,XRX   250417P00005000,XRX,2025.04.17,P,5
2025.04.03,09:42:22.180374729,09:42:22.180161792,N,0.65,2,XRX   250417P00005000,XRX,2025.04.17,P,5
2025.04.03,09:50:20.685986000,09:50:20.685773568,N,0.65,3,XRX   250417P00005000,XRX,2025.04.17,P,5
2025.04.03,09:50:21.932823974,09:50:21.932610048,N,0.83,1,XRX   250516P00005000,XRX,2025.05.16,P,5
2025.04.03,09:50:21.932962984,09:50:21.932749056,N,0.83,1,XRX   250516P00005000,XRX,2025.05.16,P,5
2025.04.03,09:53:56.380655060,09:53:56.380444928,N,0.7,1,XRX   250417P00005000,XRX,2025.04.17,P,5
2025.04.03,09:53:56.381384185,09:53:56.381172736,N,0.85,2,XRX   250516P00005000,XRX,2025.05.16,P,5
2025.04.03,10:28:58.992542833,10:28:58.992332800,N,0.85,100,XRX   250417P00005000,XRX,2025.04.17,P,5
2025.04.03,10:36:08.804922234,10:36:08.804711424,N,0.95,1,XRX   250417P00005000,XRX,2025.04.17,P,5
2025.04.03,11:20:38.619105826,11:20:38.618896896,N,0.87,1,XRX   250417P00005000,XRX,2025.04.17,P,5
2025.04.03,11:22:14.268332961,11:22:14.268123136,N,0.02,3,XRX   250417C00010000,XRX,2025.04.17,C,10
2025.04.03,11:22:14.271530732,11:22:14.271320576,N,0.02,2,XRX   250417C00010000,XRX,2025.04.17,C,10
2025.04.03,11:41:15.853725889,11:41:15.853516288,N,0.97,10,XRX   250516P00005000,XRX,2025.05.16,P,5
2025.04.03,12:00:31.045535433,12:00:31.045324032,N,0.92,1,XRX   250417P00005000,XRX,2025.04.17,P,5
2025.04.03,12:13:00.392568148,12:13:00.392355328,N,0.05,10,XRX   250620C00010000,XRX,2025.06.20,C,10
2025.04.03,12:15:14.892572061,12:15:14.892360960,N,0.05,5,XRX   250620C00010000,XRX,2025.06.20,C,10
2025.04.03,13:51:43.270993490,13:51:43.270782720,N,0.9,1,XRX   250417P00005000,XRX,2025.04.17,P,5
2025.04.03,13:57:05.797564459,13:57:05.797353472,N,0.9,1,XRX   250417P00005000,XRX,2025.04.17,P,5
2025.04.03,15:36:08.017263025,15:36:08.017050624,N,0.05,5,XRX   250620C00010000,XRX,2025.06.20,C,10
2025.04.03,09:30:22.267904657,09:30:22.267689728,N,0.25,100,XRX   250516P00004000,XRX,2025.05.16,P,4
2025.04.03,09:30:22.268054344,09:30:22.267839744,N,0.25,15,XRX   250516P00004000,XRX,2025.05.16,P,4
2025.04.03,09:34:42.914363443,09:34:42.914150656,N,0.22,1,XRX   250516P00004000,XRX,2025.05.16,P,4
2025.04.03,10:11:15.625010076,10:11:15.624798208,N,0.34,4,XRX   250516P00004000,XRX,2025.05.16,P,4
2025.04.03,10:57:11.087465951,10:57:11.087254784,N,0.45,1,XRX   250516P00004000,XRX,2025.05.16,P,4
2025.04.03,11:23:11.632659892,11:23:11.632449536,N,0.39,1,XRX   250516P00004000,XRX,2025.05.16,P,4
2025.04.03,12:30:20.878271861,12:30:20.878060800,N,0.4,3,XRX   250516P00004000,XRX,2025.05.16,P,4
2025.04.03,12:30:20.878566411,12:30:20.878356480,N,0.4,4,XRX   250516P00004000,XRX,2025.05.16,P,4
2025.04.03,13:12:50.821665795,13:12:50.821455360,N,0.4,300,XRX   250516P00004000,XRX,2025.05.16,P,4
2025.04.03,09:31:48.174639910,09:31:48.174430720,N,1.4,1,XRX   250417C00003000,XRX,2025.04.17,C,3
2025.04.03,09:31:48.174734958,09:31:48.174525952,N,1.4,1,XRX   250417C00003000,XRX,2025.04.17,C,3
2025.04.03,09:31:48.174780239,09:31:48.174571008,N,1.4,5,XRX   250417C00003000,XRX,2025.04.17,C,3
2025.04.03,09:31:48.174891199,09:31:48.174681856,N,1.4,1,XRX   250417C00003000,XRX,2025.04.17,C,3
2025.04.03,09:31:48.174915740,09:31:48.174706944,N,1.4,1,XRX   250417C00003000,XRX,2025.04.17,C,3
2025.04.03,09:31:48.175126317,09:31:48.174916864,N,1.4,1,XRX   250417C00003000,XRX,2025.04.17,C,3
2025.04.03,09:35:37.168923047,09:35:37.168707840,N,0.05,1,XRX   250516C00007000,XRX,2025.05.16,C,7
2025.04.03,10:47:55.038435402,10:47:55.038224896,N,0.06,1,XRX   250516C00007000,XRX,2025.05.16,C,7
2025.04.03,10:49:31.382560233,10:49:31.382350336,N,0.06,1,XRX   250516C00007000,XRX,2025.05.16,C,7
2025.04.03,09:30:02.995244860,09:30:02.995033856,N,4.400000000000001,1,XRX   250417P00009000,XRX,2025.04.17,P,9
2025.04.03,10:00:00.244068594,10:00:00.243853824,N,4.700000000000001,1,XRX   250417P00009000,XRX,2025.04.17,P,9
2025.04.03,10:39:42.231483768,10:39:42.231274496,N,4.900000000000001,2,XRX   250417P00009000,XRX,2025.04.17,P,9
2025.04.03,12:00:43.243564977,12:00:43.243355904,N,4.84,1,XRX   250417P00009000,XRX,2025.04.17,P,9
2025.04.03,12:01:31.986716797,12:01:31.986504960,N,4.83,1,XRX   250417P00009000,XRX,2025.04.17,P,9
2025.04.03,12:01:41.337570021,12:01:41.337359616,N,4.88,1,XRX   250417P00009000,XRX,2025.04.17,P,9
2025.04.03,12:04:08.696163077,12:04:08.695952896,N,4.83,1,XRX   250417P00009000,XRX,2025.04.17,P,9
2025.04.03,09:57:46.395720613,09:57:46.395512064,N,2.71,1,XRX   250620P00007000,XRX,2025.06.20,P,7
2025.04.03,10:00:00.127998806,10:00:00.127784448,N,3.7,1,XRX   250417P00008000,XRX,2025.04.17,P,8
2025.04.03,10:47:55.668825090,10:47:55.668617216,N,3.9,35,XRX   250417P00008000,XRX,2025.04.17,P,8
2025.04.03,10:53:59.146702291,10:53:59.146490112,N,0.06,1,XRX   250516C00006000,XRX,2025.05.16,C,6
2025.04.03,13:07:58.482160602,13:07:58.481950464,N,3.9,6,XRX   250417P00008000,XRX,2025.04.17,P,8
2025.04.03,13:11:24.781295473,13:11:24.781085952,N,3.9,10,XRX   250417P00008000,XRX,2025.04.17,P,8
2025.04.03,15:01:03.554535165,15:01:03.554324736,N,0.07,1,XRX   250516C00006000,XRX,2025.05.16,C,6
2025.04.03,09:30:10.041873311,09:30:10.041659392,N,0.75,10,XRX   250620P00005000,XRX,2025.06.20,P,5
2025.04.03,10:43:15.462566363,10:43:15.462356224,N,0.63,20,XRX   250620C00004000,XRX,2025.06.20,C,4
2025.04.03,11:48:43.911599352,11:48:43.911387904,N,3.87,1,XRX   250620P00008000,XRX,2025.06.20,P,8
2025.04.03,11:48:43.911599352,11:48:43.911387904,N,3.87,1,XRX   250620P00008000,XRX,2025.06.20,P,8
2025.04.03,12:32:40.378861471,12:32:40.378649856,N,0.9,2,XRX   250620P00005000,XRX,2025.06.20,P,5
2025.04.03,14:49:30.116137017,14:49:30.115927040,N,1.15,2,XRX   250620P00005000,XRX,2025.06.20,P,5
2025.04.03,15:22:56.397381844,15:22:56.397168640,N,0.7,61,XRX   250620C00004000,XRX,2025.06.20,C,4
2025.04.03,15:22:56.397592203,15:22:56.397379072,N,0.7,30,XRX   250620C00004000,XRX,2025.06.20,C,4
2025.04.03,15:22:56.399837252,15:22:56.399624448,N,0.7,30,XRX   250620C00004000,XRX,2025.06.20,C,4
2025.04.03,09:33:15.107197268,09:33:15.106988544,N,0.16,3,XRX   250417C00005000,XRX,2025.04.17,C,5
2025.04.03,09:34:46.527894275,09:34:46.527677952,N,0.16,1,XRX   250417C00005000,XRX,2025.04.17,C,5
2025.04.03,09:35:36.810070786,09:35:36.809860608,N,2.52,6,XRX   250417P00007000,XRX,2025.04.17,P,7
2025.04.03,09:35:36.810070786,09:35:36.809860608,N,2.52,4,XRX   250417P00007000,XRX,2025.04.17,P,7
2025.04.03,10:27:23.890702633,10:27:23.890491648,N,2.8,1,XRX   250417P00007000,XRX,2025.04.17,P,7
2025.04.03,11:37:03.158408822,11:37:03.158200064,N,2.85,1,XRX   250417P00007000,XRX,2025.04.17,P,7
2025.04.03,11:39:39.437920909,11:39:39.437712384,N,2.8,1,XRX   250417P00007000,XRX,2025.04.17,P,7
2025.04.03,13:08:46.282964982,13:08:46.282752768,N,2.85,6,XRX   250417P00007000,XRX,2025.04.17,P,7
